condition,amplitude,n,mean_abs_asym_mean,mean_abs_asym_sem,asym_std_mean,asym_std_sem
WT,10.0,200,0.03910558916248408,0.0001715516756091966,0.04899649504219544,0.00020580261354464954
WT_APP,10.0,200,0.03949436671462727,0.00034333057039518256,0.05199326264977202,0.0005012787738658083
WT,15.0,200,0.03147253957039351,0.0001490473303445442,0.039671103781940026,0.00017954090803832368
WT_APP,15.0,200,0.06146430547092915,0.0008678262891909523,0.08456024761643731,0.0011640573649062316
WT,20.0,200,0.03170309260904679,0.0002239129830111656,0.041362158567779916,0.000296318974898663
WT_APP,20.0,200,0.09748786780040446,0.0012588159023753595,0.13000369508197082,0.0013112435984644654
WT,25.0,200,0.03662552074652921,0.0003352334413228108,0.04866992015970527,0.00043537614848056835
WT_APP,25.0,200,0.14045064584663536,0.001554277799351349,0.17615568517689184,0.0013009992641836788
WT,30.0,200,0.04410741464772755,0.0005777148570421935,0.05815963873707139,0.0006854644738753916
WT_APP,30.0,200,0.16914688836315597,0.0014300405891726775,0.2081460480995425,0.00108832652280368
WT,35.0,200,0.05960384717853111,0.0011802164082874492,0.0768420076568747,0.0013390573080575517
WT_APP,35.0,200,0.1735268143648831,0.0016791753040414654,0.21955904942110777,0.0012463158863072607
WT,40.0,200,0.09052852769200377,0.0022192629287919744,0.11364756147480995,0.0025066490018757362
WT_APP,40.0,200,0.173604397356722,0.0014092943519443228,0.22651248565334647,0.001122372082045143
WT,45.0,200,0.13505268102506338,0.0028136658743571677,0.16600270475344148,0.0029660681386421274
WT_APP,45.0,200,0.18267955281807488,0.001516778182349901,0.23843611842706303,0.0012321904144816335
