condition_key,amplitude,w_inter,success_rate,mean_A_hat,peak_pyr_rate,mean_error_deg,noise_threshold,n_trials
WT,5.0,5.0,0.08,0.05001822596283999,4.893602438271204,89.80794981252082,0.09318451675,50
WT,5.0,5.5,0.1,0.05019010636465828,5.104756550851713,89.2625175218145,0.09192844364,50
WT,5.0,6.0,0.04,0.05035321912982968,5.337118196500241,88.66327868662157,0.1067848843,50
WT,5.0,6.5,0.08,0.05051899866244106,5.5935254173914934,88.18257563901324,0.1036362907,50
WT,5.0,7.0,0.08,0.05068841664111701,5.877414312178272,87.490337639913,0.09729280488,50
WT,5.0,7.5,0.06,0.05088159893989442,6.193016143976029,86.19720471984456,0.1087545375,50
WT,5.0,8.0,0.06,0.05121650476589574,6.545069921497454,80.99650215857997,0.1033727757,50
WT,5.0,8.5,0.44,0.10988626417301474,6.944046716421543,25.009834592663395,0.09885071174,50
WT,7.5,5.0,0.08,0.050005337244159155,7.092098554324822,89.48376033184351,0.09318451675,50
WT,7.5,5.5,0.1,0.05017026876013268,7.390199957846795,88.74606131964578,0.09192844364,50
WT,7.5,6.0,0.04,0.050316445010033066,7.729953517175777,87.73344273810997,0.1067848843,50
WT,7.5,6.5,0.06,0.05047109572754281,8.114513537109914,86.21710867594356,0.1036362907,50
WT,7.5,7.0,0.1,0.05071329108384465,8.54997242450852,82.47705466253757,0.09729280488,50
WT,7.5,7.5,0.08,0.05399160161551759,9.037731747785546,60.4325147382837,0.1087545375,50
WT,7.5,8.0,1.0,0.4583040790404185,9.582720312205849,3.273549326182086,0.1033727757,50
WT,7.5,8.5,1.0,0.65906058485267,24.541557940943804,11.365227921277471,0.09885071174,50
WT,10.0,5.0,0.1,0.04998458291658265,9.418063791440906,88.87893668805842,0.09318451675,50
WT,10.0,5.5,0.1,0.050136076113921346,9.760142572821534,87.63199580897883,0.09192844364,50
WT,10.0,6.0,0.06,0.0502709610296582,10.141267054726343,85.09753029243483,0.1067848843,50
WT,10.0,6.5,0.08,0.050882887425281006,10.577497420673112,75.61054820402651,0.1036362907,50
WT,10.0,7.0,0.16,0.06452984258620456,11.108445209546183,42.67461794430823,0.09729280488,50
WT,10.0,7.5,1.0,0.36498766442101854,11.73532516796909,4.128821559547344,0.1087545375,50
WT,10.0,8.0,1.0,0.6119048863825234,17.61063376362176,5.114687938267237,0.1033727757,50
WT,10.0,8.5,1.0,0.7172543980171615,31.42212687166436,14.621752154232272,0.09885071174,50
WT,12.5,5.0,0.1,0.04996181098503101,11.780865373314287,87.76585678947347,0.09318451675,50
WT,12.5,5.5,0.1,0.05012075737016081,12.212776684380483,85.2153221786437,0.09192844364,50
WT,12.5,6.0,0.06,0.05070275036446716,12.67073356927941,75.91936756401562,0.1067848843,50
WT,12.5,6.5,0.12,0.06553519300195065,13.160479149941914,40.841152543315275,0.1036362907,50
WT,12.5,7.0,1.0,0.2509366591092915,13.715489058901396,6.862783555314088,0.09729280488,50
WT,12.5,7.5,1.0,0.5528236835295597,14.419036865364049,2.7364879316431923,0.1087545375,50
WT,12.5,8.0,1.0,0.660550911782588,21.895990269899855,7.857064946019708,0.1033727757,50
WT,12.5,8.5,1.0,0.7604674083887945,35.229153732454925,15.316326469584691,0.09885071174,50
WT,15.0,5.0,0.1,0.049962148081073805,14.11654134431915,85.70121810643944,0.09318451675,50
WT,15.0,5.5,0.1,0.05034998728173543,14.640695672513784,79.73677977549195,0.09192844364,50
WT,15.0,6.0,0.04,0.05645143438564153,15.196111987080293,52.07247571234899,0.1067848843,50
WT,15.0,6.5,0.94,0.15165626168656623,15.785900977964031,12.630442564095848,0.1036362907,50
WT,15.0,7.0,1.0,0.5170020182418252,16.41434040175368,2.4504672613846243,0.09729280488,50
WT,15.0,7.5,1.0,0.5239808239990853,17.134799820100913,3.7488949528974356,0.1087545375,50
WT,15.0,8.0,1.0,0.7098087481729632,24.857839584114146,10.914507068967469,0.1033727757,50
WT,15.0,8.5,1.0,0.6789366690015558,38.41420219252842,17.957032719872885,0.09885071174,50
WT,17.5,5.0,0.1,0.05008477069151612,16.437241336780318,81.93173943191206,0.09318451675,50
WT,17.5,5.5,0.1,0.05218848968314872,17.053345515605294,65.19581449294643,0.09192844364,50
WT,17.5,6.0,0.18,0.08278206255769378,17.705974599688616,26.998553100284877,0.1067848843,50
WT,17.5,6.5,1.0,0.32310747072161233,18.39808637925968,4.724964322507046,0.1036362907,50
WT,17.5,7.0,1.0,0.5499420015530732,19.132781320429533,2.3116968960174433,0.09729280488,50
WT,17.5,7.5,1.0,0.6591256595510749,19.92185104732852,3.641880645541397,0.1087545375,50
WT,17.5,8.0,1.0,0.7030439278098902,27.44900927460014,11.472156264870808,0.1033727757,50
WT,17.5,8.5,1.0,0.7220430691918923,41.76723451078777,20.126340981312445,0.09885071174,50
WT,20.0,5.0,0.1,0.05069402258904383,18.749507756399076,74.47477232515254,0.09318451675,50
WT,20.0,5.5,0.18,0.059938112170788906,19.456193284475674,46.41431779005445,0.09192844364,50
WT,20.0,6.0,0.9,0.1437194036442577,20.204577702579474,13.379501881305949,0.1067848843,50
WT,20.0,6.5,1.0,0.48428894785121146,20.997939950116425,2.5468032140748345,0.1036362907,50
WT,20.0,7.0,1.0,0.5617263464702332,21.839608759344852,2.7849492581144597,0.09729280488,50
WT,20.0,7.5,1.0,0.6336847539207262,22.7337906637067,6.793766206366522,0.1087545375,50
WT,20.0,8.0,1.0,0.7277399561243181,29.64073441019121,12.876511534708943,0.1033727757,50
WT,20.0,8.5,1.0,0.7110282339649099,44.68320329458573,20.260347057732787,0.09885071174,50
